1.jpg: [[6.674591064453125, -3.8332977294921875], [6.0823974609375, -5.80615234375], [0.71478271484375, -8.050643920898438], [7.691131591796875, 0.78253173828125]]
1034.jpg: [[9.580535888671875, -8.078166961669922], [-9.967254638671875, 6.57666015625], [9.98046875, -0.7914886474609375], [4.0948486328125, 6.325347900390625]]
1035.jpg: [[-3.224456787109375, -7.808150768280029], [5.86163330078125, -4.785558700561523], [0.169708251953125, 6.217689514160156], [9.7506103515625, -4.891075134277344]]
1036.jpg: [[-6.5631103515625, -3.744293212890625], [-0.847991943359375, 3.8304443359375], [4.77508544921875, 7.444366455078125], [6.47039794921875, -2.36541748046875]]
1037.jpg: [[-1.2943115234375, -7.11029052734375], [-5.6717529296875, 8.00592041015625], [5.136688232421875, 5.5035400390625], [-8.41033935546875, 7.66204833984375]]
1038.jpg: [[-3.010284423828125, 1.364288330078125], [-2.363861083984375, 0.9506683349609375], [-0.3817138671875, 5.127044677734375], [9.08929443359375, 6.444366455078125]]
1039.jpg: [[2.893707275390625, 0.9850845336914062], [2.07122802734375, -0.9996681213378906], [5.228240966796875, -4.3502044677734375], [-6.227020263671875, 4.778778076171875]]
104.jpg: [[8.667816162109375, 3.0545654296875], [9.3360595703125, 7.712188720703125], [4.88177490234375, 7.753448486328125], [-0.2554931640625, -1.405914306640625]]
1040.jpg: [[-3.21002197265625, 9.430923461914062], [-8.730712890625, 4.6098785400390625], [-6.975677490234375, -9.066314697265625], [-2.58221435546875, 1.9647369384765625]]
1041.jpg: [[-5.9697418212890625, -2.628326416015625], [3.8712158203125, 8.391998291015625], [9.74053955078125, -3.537353515625], [-9.327301025390625, -5.367401123046875]]
1042.jpg: [[-6.5664520263671875, -4.79896354675293], [3.507598876953125, 7.041929244995117], [0.191131591796875, 3.8659439086914062], [-8.78466796875, -2.2034225463867188]]
1043.jpg: [[-1.914215087890625, 0.2434234619140625], [-7.19287109375, 7.8476715087890625], [5.8865966796875, -9.394775390625], [-1.683013916015625, -9.36749267578125]]
1044.jpg: [[1.851776123046875, 6.7654876708984375], [4.73980712890625, 3.2855072021484375], [-8.608489990234375, 4.501678466796875], [7.12347412109375, -8.74261474609375]]
1045.jpg: [[7.36407470703125, -3.794830322265625], [1.3720703125, 0.7105255126953125], [5.491943359375, 6.1784515380859375], [7.5843505859375, 9.04949951171875]]
1046.jpg: [[1.469482421875, 8.631866455078125], [-9.7449951171875, 6.416717529296875], [-0.027191162109375, -6.71978759765625], [-8.17181396484375, 1.19854736328125]]
1047.jpg: [[6.823600769042969, -9.686321258544922], [6.1739044189453125, -8.815471649169922], [5.2901763916015625, -0.22918701171875], [-3.35113525390625, 5.4586181640625]]
1048.jpg: [[9.25714111328125, 1.0415420532226562], [-9.49365234375, 3.8409042358398438], [7.18159294128418, -6.0540771484375], [1.841217041015625, 5.1910858154296875]]
1049.jpg: [[-4.33428955078125, -4.7692718505859375], [-4.273223876953125, 0.4392852783203125], [-5.202392578125, -0.21746826171875], [-5.139801025390625, -4.212921142578125]]
105.jpg: [[-6.444244384765625, 7.262481689453125], [0.752410888671875, -3.524566650390625], [0.431793212890625, 2.457244873046875], [7.492584228515625, -1.156036376953125]]
1050.jpg: [[9.989715576171875, -6.6605682373046875], [-5.517303466796875, -1.0047454833984375], [-5.8017730712890625, 7.4580841064453125], [5.39337158203125, -6.8699798583984375]]
1051.jpg: [[-2.2788543701171875, -5.088626861572266], [-7.3412017822265625, 5.769355773925781], [7.8353271484375, -2.2430267333984375], [6.41827392578125, 0.82977294921875]]
1052.jpg: [[0.25220489501953125, 5.8167724609375], [5.2740325927734375, -8.292877197265625], [-5.779579162597656, 8.076446533203125], [3.07025146484375, 7.019989013671875]]
1053.jpg: [[5.689704895019531, 1.466705322265625], [-2.7019195556640625, -7.027587890625], [-5.787322998046875, 9.7689208984375], [3.877593994140625, 0.59881591796875]]
1054.jpg: [[8.983978271484375, 3.7812793254852295], [-4.10235595703125, -5.256837368011475], [-3.675689697265625, -1.1627960205078125], [-0.68585205078125, -7.3607025146484375]]
1055.jpg: [[-8.089170455932617, -0.431365966796875], [2.8616104125976562, 4.3524932861328125], [-2.6412925720214844, -7.872528076171875], [-4.239402770996094, 3.8133544921875]]
1056.jpg: [[-7.049468994140625, 2.041900634765625], [-0.0137939453125, 0.08502197265625], [9.143341064453125, -4.85455322265625], [9.90447998046875, -0.536346435546875]]
1057.jpg: [[-2.728363037109375, 5.867652893066406], [9.78118896484375, -4.008506774902344], [8.3565673828125, -2.3616790771484375], [8.09576416015625, 6.0066680908203125]]
1058.jpg: [[-3.8108062744140625, 1.5912933349609375], [-7.090911865234375, -6.27392578125], [2.1446685791015625, 2.7672119140625], [0.209564208984375, -3.270599365234375]]
1059.jpg: [[-2.13067626953125, 3.980712890625], [6.49853515625, 3.821044921875], [5.1653594970703125, -0.9466552734375], [8.35662841796875, 9.94775390625]]
106.jpg: [[3.9526824951171875, -9.751434326171875], [-2.34808349609375, 7.38848876953125], [-7.165077209472656, -6.347686767578125], [-6.0912933349609375, 2.742095947265625]]
1060.jpg: [[-9.392547607421875, 6.756072998046875], [8.7066650390625, -3.2335472106933594], [-9.586517333984375, -7.5179901123046875], [-5.77105712890625, 8.360809326171875]]
1061.jpg: [[-1.7636947631835938, 7.999122619628906], [4.5995941162109375, 6.218269348144531], [-1.5815200805664062, 6.1152801513671875], [9.264297485351562, -1.2950439453125]]
1062.jpg: [[2.7322998046875, 9.9542236328125], [-2.173583984375, -0.03466796875], [-3.9544677734375, 7.84918212890625], [-7.88275146484375, -7.402557373046875]]
1063.jpg: [[-4.4351806640625, 8.254043579101562], [-6.19952392578125, -6.734870910644531], [-2.38189697265625, -1.7958831787109375], [6.81781005859375, 6.48944091796875]]
1064.jpg: [[-0.60076904296875, -4.979736328125], [2.34442138671875, -6.7087249755859375], [2.722381591796875, 4.419403076171875], [-2.272216796875, -5.6423492431640625]]
1065.jpg: [[-4.696195602416992, -8.135688781738281], [-5.676811218261719, -6.0126495361328125], [-4.417242050170898, 6.991912841796875], [-2.4441452026367188, -8.420608520507812]]
1066.jpg: [[1.512481689453125, -9.09918212890625], [-1.048675537109375, 2.1225433349609375], [-4.38079833984375, -5.921905517578125], [-7.153717041015625, 6.42364501953125]]
1067.jpg: [[5.6796875, -6.832122802734375], [6.0498046875, -2.496490478515625], [7.4945068359375, 4.29339599609375], [-8.812591552734375, -7.59869384765625]]
1068.jpg: [[1.0767267942428589, -0.4162139892578125], [2.11669921875, -4.1394500732421875], [7.81400728225708, 7.5094757080078125], [4.408935546875, 3.6410675048828125]]
1069.jpg: [[-8.005203247070312, 1.5670166015625], [1.795379638671875, -5.7353515625], [3.7099151611328125, 2.839324951171875], [6.805419921875, 7.212646484375]]
107.jpg: [[-0.97491455078125, 1.9789466857910156], [-2.413360595703125, -5.5756378173828125], [6.039093017578125, -7.753509521484375], [-3.15228271484375, 8.293869018554688]]
1070.jpg: [[-5.5182037353515625, -0.60382080078125], [-7.727203369140625, -2.56878662109375], [9.964599609375, -9.445526123046875], [-9.11871337890625, -2.523406982421875]]
1071.jpg: [[-4.17510986328125, 7.648895263671875], [9.713287353515625, 4.411529541015625], [-3.8668289184570312, -3.7463226318359375], [-8.32177734375, -6.51904296875]]
1072.jpg: [[5.2938385009765625, 0.1620941162109375], [-0.7280426025390625, -8.2615966796875], [-8.331497192382812, 8.886932373046875], [1.8461151123046875, 0.949859619140625]]
1073.jpg: [[5.08233642578125, -0.6856689453125], [-5.19061279296875, -4.4591217041015625], [5.347808837890625, -2.6577911376953125], [-9.076019287109375, -4.8179779052734375]]
1074.jpg: [[8.865951538085938, 4.6539459228515625], [-2.6400146484375, 8.417510986328125], [-6.62261962890625, 9.938018798828125], [-5.057647705078125, 8.9107666015625]]
1075.jpg: [[-9.38290786743164, -6.2450408935546875], [2.233734130859375, 7.529998779296875], [-4.312381744384766, 1.697235107421875], [4.1343841552734375, -1.210418701171875]]
1076.jpg: [[-4.7049560546875, -7.1271257400512695], [-6.103179931640625, -6.897685527801514], [2.880462646484375, 0.24694061279296875], [-5.186187744140625, -6.670982360839844]]
1077.jpg: [[5.764984130859375, -1.4297714233398438], [5.940185546875, 3.386932373046875], [-2.84490966796875, 2.182647705078125], [9.28228759765625, 7.8666534423828125]]
1078.jpg: [[2.84466552734375, 7.792022705078125], [6.57562255859375, 7.16278076171875], [-1.29119873046875, -0.747283935546875], [-1.75799560546875, 9.272003173828125]]
1079.jpg: [[8.048721313476562, 7.18548583984375], [-9.909385681152344, -7.343719482421875], [1.4178972244262695, -6.4638671875], [-0.33251190185546875, 9.76373291015625]]
108.jpg: [[-3.157012939453125, 3.882732391357422], [8.31585693359375, 6.985191345214844], [3.8089599609375, 1.6362762451171875], [-9.76416015625, 6.4014739990234375]]
1080.jpg: [[-4.7887983322143555, 5.413719177246094], [1.7651443481445312, -7.04205322265625], [-2.0129032135009766, -3.5244598388671875], [6.136871337890625, -3.1738128662109375]]
1081.jpg: [[-8.17919921875, -2.7576065063476562], [-3.992279052734375, -1.2623519897460938], [-8.545486450195312, -3.78802490234375], [-9.252975463867188, 6.20098876953125]]
1082.jpg: [[-0.872283935546875, 6.883331298828125], [3.9508056640625, -2.959991455078125], [1.431915283203125, 9.06854248046875], [3.5484619140625, 3.251556396484375]]
1083.jpg: [[-8.556427001953125, -5.120513916015625], [7.0614013671875, -0.1180572509765625], [-7.7923583984375, 4.38873291015625], [7.007568359375, 4.078704833984375]]
1084.jpg: [[0.226104736328125, 8.631423950195312], [4.5186767578125, -5.416816711425781], [-2.3006134033203125, -0.952239990234375], [-9.116424560546875, -6.8303070068359375]]
1085.jpg: [[7.976348876953125, 8.625617980957031], [-1.253692626953125, -3.0155715942382812], [3.3661651611328125, -5.5169525146484375], [-9.195037841796875, -2.4606170654296875]]
1086.jpg: [[4.3956451416015625, -0.6038360595703125], [3.8621368408203125, 5.5902099609375], [-3.5772476196289062, -3.568603515625], [-4.0614013671875, -6.5475006103515625]]
1087.jpg: [[-7.6627197265625, -8.100128173828125], [-9.638641357421875, -9.559906005859375], [3.791473388671875, -1.255340576171875], [9.520050048828125, 8.80377197265625]]
1088.jpg: [[2.7185792922973633, -1.1635398864746094], [7.62744140625, 9.321495056152344], [0.9127192497253418, -1.7355194091796875], [2.519805908203125, 7.7451629638671875]]
1089.jpg: [[8.478836059570312, -6.89898681640625], [-5.50994873046875, 6.895904541015625], [-7.0530853271484375, 5.26812744140625], [-9.743072509765625, -8.3179931640625]]
109.jpg: [[2.7093963623046875, -9.207298278808594], [-6.366119384765625, 8.655754089355469], [-5.7494049072265625, 0.9007720947265625], [4.61962890625, -3.248260498046875]]
1090.jpg: [[4.337066650390625, 8.843582153320312], [-0.600860595703125, -9.027114868164062], [2.9287872314453125, -9.017929077148438], [6.4033203125, 5.616790771484375]]
1091.jpg: [[-3.564788818359375, -8.891128540039062], [4.71990966796875, -4.9623260498046875], [4.86761474609375, 7.543731689453125], [-2.08245849609375, -4.54412841796875]]
1092.jpg: [[6.7279510498046875, -3.6502838134765625], [-4.9378814697265625, -1.8397674560546875], [5.478485107421875, 1.054412841796875], [9.322845458984375, -2.763092041015625]]
1093.jpg: [[1.87237548828125, 1.1822052001953125], [-3.45159912109375, -2.723236083984375], [8.512939453125, 5.367523193359375], [9.781951904296875, -7.414337158203125]]
1094.jpg: [[3.1328277587890625, -6.8541412353515625], [7.2330169677734375, 2.755950927734375], [5.427467346191406, 3.139892578125], [-4.063812255859375, -2.4906005859375]]
1095.jpg: [[-1.5750579833984375, -8.1494140625], [-2.027313232421875, -1.6087646484375], [8.330123901367188, 0.106201171875], [-3.34088134765625, -0.0009765625]]
1096.jpg: [[-6.178497314453125, 6.60052490234375], [-4.5118408203125, -8.056976318359375], [-9.798248291015625, 6.87652587890625], [-8.612762451171875, 5.837005615234375]]
1097.jpg: [[7.6970672607421875, -5.401275634765625], [7.4130859375, 0.193450927734375], [8.731613159179688, 4.577484130859375], [-8.10797119140625, -3.4049072265625]]
1098.jpg: [[-8.789833068847656, -1.91064453125], [9.77154541015625, -5.66510009765625], [-2.5146942138671875, 4.974395751953125], [-6.244598388671875, 8.646881103515625]]
1099.jpg: [[7.34576416015625, 5.036773681640625], [-1.52154541015625, -8.540435791015625], [0.24151611328125, -8.9580078125], [0.03875732421875, 4.3897705078125]]
11.jpg: [[8.81512451171875, -0.69232177734375], [2.6884765625, -4.0096282958984375], [-8.72308349609375, -3.1629638671875], [-8.91314697265625, 0.2594146728515625]]
110.jpg: [[-4.337371826171875, -6.411529541015625], [-2.84027099609375, 1.3905181884765625], [-3.563232421875, -7.805145263671875], [-9.563018798828125, -8.25152587890625]]
1100.jpg: [[-0.18560791015625, 2.95263671875], [-8.268310546875, -3.4757461547851562], [-8.848602294921875, 0.9428558349609375], [0.10394287109375, 1.923095703125]]
1101.jpg: [[5.212127685546875, -1.0092010498046875], [-3.4355621337890625, 2.4330978393554688], [1.1899032592773438, 1.732513427734375], [4.293487548828125, -1.3477325439453125]]
1102.jpg: [[-3.19598388671875, -1.0760650634765625], [-9.96240234375, -6.8291168212890625], [5.72015380859375, 8.779205322265625], [8.09600830078125, 7.505096435546875]]
1103.jpg: [[4.253936767578125, -0.414459228515625], [4.749359130859375, 2.46661376953125], [-0.7886962890625, -9.71148681640625], [1.172515869140625, 3.75701904296875]]
1104.jpg: [[-4.945171356201172, -4.305023193359375], [-7.76251220703125, -6.622222900390625], [8.774848937988281, 3.556671142578125], [2.1895751953125, -4.42034912109375]]
1105.jpg: [[6.0270843505859375, 1.3987579345703125], [7.7242279052734375, -1.7223358154296875], [7.9276123046875, 2.48736572265625], [-2.9225006103515625, 6.980010986328125]]
1106.jpg: [[1.7580108642578125, 2.696345329284668], [-9.97308349609375, -1.066131591796875], [-9.840530395507812, -7.568885803222656], [-3.325653076171875, -0.5910720825195312]]
1107.jpg: [[3.188568115234375, 2.8365325927734375], [-8.7762451171875, -9.424163818359375], [6.650970458984375, 7.097869873046875], [-5.153167724609375, 8.939361572265625]]
1108.jpg: [[4.0838623046875, 9.258262634277344], [1.814483642578125, 3.16357421875], [-4.891448974609375, -5.92791748046875], [7.214202880859375, 5.804840087890625]]
1109.jpg: [[5.195241928100586, 1.628692626953125], [2.8949966430664062, -2.59136962890625], [4.598164081573486, 4.581756591796875], [1.46319580078125, 3.5343017578125]]
111.jpg: [[-8.710205078125, -4.040130615234375], [-1.19384765625, 4.9275970458984375], [7.3685455322265625, -1.6737518310546875], [-6.87890625, -9.860992431640625]]
1110.jpg: [[2.302215576171875, -5.269256591796875], [-5.413665771484375, 4.920318603515625], [-2.292510986328125, -3.16064453125], [-4.766021728515625, 8.423095703125]]
1111.jpg: [[-4.15338134765625, 1.248199462890625], [7.2267913818359375, 9.964385986328125], [6.579010009765625, -4.26123046875], [6.158050537109375, -2.163299560546875]]
1112.jpg: [[-4.01885986328125, -8.041778564453125], [-2.116241455078125, 5.29840087890625], [6.2702789306640625, 1.57366943359375], [8.244049072265625, 5.367431640625]]
1113.jpg: [[6.0159759521484375, 0.6275482177734375], [1.827117919921875, -6.097076416015625], [-9.765457153320312, 0.6060333251953125], [-7.3160400390625, 5.53826904296875]]
1114.jpg: [[3.2060546875, -6.285614013671875], [8.99786376953125, 8.4322509765625], [-9.584564208984375, -5.64630126953125], [-9.89178466796875, -0.440582275390625]]
1115.jpg: [[3.0552940368652344, -8.26666259765625], [-4.329864501953125, 4.727020263671875], [-0.6971817016601562, -6.34490966796875], [-2.9270172119140625, -9.082550048828125]]
1116.jpg: [[-6.971405029296875, 4.855018615722656], [-3.91064453125, -5.093238830566406], [0.663116455078125, 5.1459503173828125], [-0.009552001953125, 7.9650115966796875]]
1117.jpg: [[-7.915130615234375, 2.1809005737304688], [-6.699249267578125, 2.7956619262695312], [2.08258056640625, 9.684814453125], [7.50927734375, -2.7755889892578125]]
1118.jpg: [[-2.907379150390625, 1.091766357421875], [-6.580078125, -0.052337646484375], [4.9917755126953125, -0.69061279296875], [-8.42608642578125, -1.16510009765625]]
1119.jpg: [[2.7629776000976562, 7.6080322265625], [-3.753387451171875, 9.809356689453125], [2.6838912963867188, 2.23455810546875], [6.6031646728515625, -7.86138916015625]]
112.jpg: [[7.022735595703125, 8.262478828430176], [-9.8436279296875, -3.461709499359131], [-3.652679443359375, 5.3302459716796875], [4.155517578125, -0.78485107421875]]
1120.jpg: [[-4.1939849853515625, 0.388336181640625], [6.779632568359375, 4.734865188598633], [4.567413330078125, -1.7712631225585938], [-7.03472900390625, -7.121772766113281]]
1121.jpg: [[5.1243133544921875, -2.59259033203125], [-2.302520751953125, -5.26007080078125], [-8.189971923828125, 4.284576416015625], [-7.93994140625, -1.43658447265625]]
1122.jpg: [[3.3624801635742188, 4.46697998046875], [3.04962158203125, 5.522613525390625], [9.172386169433594, -6.8775634765625], [9.842819213867188, -3.17803955078125]]
1123.jpg: [[2.016632080078125, 7.841381072998047], [4.504241943359375, -3.108592987060547], [5.284210205078125, -0.2556304931640625], [-8.184112548828125, -9.971206665039062]]
1124.jpg: [[2.8125, -8.135025024414062], [-3.787933349609375, 8.467605590820312], [1.217010498046875, -5.859466552734375], [-0.311065673828125, 1.240936279296875]]
1125.jpg: [[-2.190800428390503, 0.549072265625], [4.690345764160156, 1.9168701171875], [3.5264365673065186, 2.751556396484375], [2.3586654663085938, -8.11749267578125]]
1126.jpg: [[4.3171234130859375, 8.7484130859375], [8.224502563476562, 7.36236572265625], [-3.9267425537109375, 2.86822509765625], [-6.0063018798828125, -0.08831787109375]]
1127.jpg: [[-4.025093078613281, 0.48870849609375], [9.1080322265625, -2.43841552734375], [5.067207336425781, -8.333343505859375], [0.93524169921875, -6.6397705078125]]
1128.jpg: [[2.37811279296875, 8.43414306640625], [-9.877166748046875, -2.0546875], [-7.719696044921875, -0.00128173828125], [8.54742431640625, 4.82818603515625]]
1129.jpg: [[-3.969757080078125, 3.7195281982421875], [-9.654693603515625, 2.9622650146484375], [5.8914794921875, -8.687469482421875], [5.449493408203125, -3.759979248046875]]
113.jpg: [[-3.7319488525390625, -7.949150085449219], [-2.174591064453125, -5.214332580566406], [4.4376983642578125, -4.1885833740234375], [4.586151123046875, 0.628509521484375]]
1130.jpg: [[6.277812957763672, -2.3575820922851562], [1.1456375122070312, -0.22173309326171875], [1.154569149017334, 7.8389434814453125], [1.2526397705078125, -4.7333221435546875]]
1131.jpg: [[6.310718536376953, -3.9828948974609375], [3.800384521484375, 8.238998413085938], [3.7282180786132812, -9.81329345703125], [0.23101806640625, -3.6132049560546875]]
1132.jpg: [[4.523193359375, 7.177248001098633], [4.165069580078125, 5.324651718139648], [-4.724761962890625, 0.7105865478515625], [0.527374267578125, -2.170867919921875]]
1133.jpg: [[-3.1782989501953125, 3.882598876953125], [-4.1194305419921875, -2.714019775390625], [2.5229263305664062, 1.174530029296875], [6.322265625, -4.429412841796875]]
1134.jpg: [[7.4379730224609375, -8.363357543945312], [9.747314453125, -2.19024658203125], [-9.674423217773438, -2.58111572265625], [-1.60125732421875, 9.1356201171875]]
1135.jpg: [[8.774406433105469, 2.964447021484375], [6.1742401123046875, 0.636138916015625], [3.4239501953125, 8.185455322265625], [-9.103927612304688, 7.950897216796875]]
1136.jpg: [[-3.6837615966796875, 7.134361267089844], [-8.415802001953125, 6.5868682861328125], [6.528167724609375, -5.86456298828125], [9.894378662109375, 3.9936981201171875]]
1137.jpg: [[-2.7193527221679688, 8.843276977539062], [9.838134765625, -1.51806640625], [-0.9927215576171875, -8.610153198242188], [9.273712158203125, -7.7466888427734375]]
1138.jpg: [[2.82525634765625, -3.116558074951172], [5.0230712890625, 1.4878387451171875], [-9.29986572265625, -7.2382659912109375], [-3.7525634765625, 4.141845703125]]
1139.jpg: [[-4.6827239990234375, -2.99680233001709], [3.956878662109375, -1.707200050354004], [-2.3750762939453125, -1.336090087890625], [-3.92138671875, 8.880516052246094]]
114.jpg: [[4.865776062011719, 3.984111785888672], [-6.5911712646484375, 3.6114578247070312], [9.582687377929688, 2.75006103515625], [-5.39727783203125, 3.9441375732421875]]
1140.jpg: [[-8.826385498046875, -5.3671875], [-8.3623046875, 4.012474060058594], [8.630157470703125, -5.9227294921875], [-4.54364013671875, -5.4537353515625]]
1141.jpg: [[-7.701324462890625, 2.26611328125], [9.23284912109375, -2.18133544921875], [7.551666259765625, 3.05029296875], [3.276031494140625, 9.6993408203125]]
1142.jpg: [[-1.76678466796875, 5.424068450927734], [-8.793701171875, 7.432094573974609], [2.23968505859375, 7.613372802734375], [0.70233154296875, -9.140785217285156]]
1143.jpg: [[-0.32244873046875, 4.8244476318359375], [5.32769775390625, -9.250823974609375], [-7.7225341796875, 9.92578125], [9.444976806640625, -5.292083740234375]]
1144.jpg: [[7.921295166015625, -4.017486572265625], [-3.22979736328125, -3.7078857421875], [4.732818603515625, 9.944854736328125], [6.565673828125, -2.03460693359375]]
1145.jpg: [[-3.664215087890625, -3.550079345703125], [-9.546173095703125, 8.58685302734375], [6.157707214355469, -7.26129150390625], [-9.063308715820312, -1.072265625]]
